codigo;nome;fonte
"MT.MAN";"MONT.MANGUEIRAS PRO";"PC Factory D0021 - Recurso"
"MT.PRI";"MONTA.PRINCIPAL PRO";"PC Factory D0021 - Recurso"
"MT.ROD";"MONTA.RODADO PRO";"PC Factory D0021 - Recurso"
"MT.TRA";"MONTA.TRANSM PRO";"PC Factory D0021 - Recurso"
"NT CAB";"CABEÇALHO TILLER";"PC Factory D0021 - Recurso"
"NT CH";"CHASSI TILLER";"PC Factory D0021 - Recurso"
"NT RO";"ROLOS TILLER";"PC Factory D0021 - Recurso"
"NT.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"NT.CRD";"MONT CHASSI/RODADO";"PC Factory D0021 - Recurso"
"NT.DBR";"MONTAGEM DISCO/BRACO";"PC Factory D0021 - Recurso"
"NT.HID";"MONTAGEM HIDRAULICA";"PC Factory D0021 - Recurso"
"NT.PRE";"PRE MONT DISCO/BRACO";"PC Factory D0021 - Recurso"
"NTTEST";"TESTE PROD/LUBRIF";"PC Factory D0021 - Recurso"
"P 2895";"SOLDA ACOPLAMENTO";"PC Factory D0021 - Recurso"
"P 2904";"1º ETAPA";"PC Factory D0021 - Recurso"
"P 2905";"3° ETAPA";"PC Factory D0021 - Recurso"
"P 2915";"PRE MONTAGEM CHASSI PC";"PC Factory D0021 - Recurso"
"P 3239";"PRE MONTAGEM CHASSI PM";"PC Factory D0021 - Recurso"
"P 3276";"ACABAMENTO X10";"PC Factory D0021 - Recurso"
"P 3344";"SOLDA FLANGES";"PC Factory D0021 - Recurso"
"P 4948";"4° ETAPA";"PC Factory D0021 - Recurso"
"P 4949";"2º ETAPA";"PC Factory D0021 - Recurso"
"P ARTL";"pre mont lamina 710";"PC Factory D0021 - Recurso"
"P CAB";"PRE CABEÇALHO";"PC Factory D0021 - Recurso"
"P CAB7";"pre mont cabeçalho 710";"PC Factory D0021 - Recurso"
"P CEN";"pre mont central 710";"PC Factory D0021 - Recurso"
"P EIX";"pre mont 710";"PC Factory D0021 - Recurso"
"P INT";"pre mont intermediário";"PC Factory D0021 - Recurso"
"P PRI";"pre mont principal";"PC Factory D0021 - Recurso"
"PINT.L";"PINTURA F IV";"PC Factory D0021 - Recurso"
"PL-PI";"PRODUTIVA";"PC Factory D0021 - Recurso"
"PLASMA";"PLASMA";"PC Factory D0021 - Recurso"
"PM.LIN";"PRE MONT LINHAS PRO";"PC Factory D0021 - Recurso"
"PM.PRI";"PRE MONT PRINC PRO";"PC Factory D0021 - Recurso"
"PM1TCG";"CONJ.SOLD.TANQUE PRÉ.MON.1";"PC Factory D0021 - Recurso"
"PM1V";"PRE.MON.1.VELLOX";"PC Factory D0021 - Recurso"
"PM2TC";"CONJ.SOLD.TANQUE PRÉ.MON.2";"PC Factory D0021 - Recurso"
"PM102";"PRE.MON.102";"PC Factory D0021 - Recurso"
"PM210";"PRE.MON.210";"PC Factory D0021 - Recurso"
"PMARCG";"PM.ARTICULAÇÃO RODADO";"PC Factory D0021 - Recurso"
"PMART";"PRE.MONT.ART.710";"PC Factory D0021 - Recurso"
"PMART3";"PRE.MON.ART.310";"PC Factory D0021 - Recurso"
"PMART5";"PRE.MON.ART.510";"PC Factory D0021 - Recurso"
"PMARTT";"PRE.MON.ART.TRASEIRA.710";"PC Factory D0021 - Recurso"
"PMB";"PRE.MON.BOSCH.510";"PC Factory D0021 - Recurso"
"PMBCG";"PM.SOLD. BASE TANQUE";"PC Factory D0021 - Recurso"
"PMBTCG";"PM.BARRA DE TRAÇÃO";"PC Factory D0021 - Recurso"
"PMC3";"PM.CAB.310";"PC Factory D0021 - Recurso"
"PMC8";"PM.CAPELA";"PC Factory D0021 - Recurso"
"PMC09";"PM.CABECALHO UPGRAIN";"PC Factory D0021 - Recurso"
"PMCABC";"PRE.MON.CAB.710";"PC Factory D0021 - Recurso"
"PMCC";"PRE.MON.CENTRAL CHASSI.T";"PC Factory D0021 - Recurso"
"PMCCG";"PM.COMPORTA";"PC Factory D0021 - Recurso"
"PMCCT";"PM.CHA.CENTRAL.TILLER";"PC Factory D0021 - Recurso"
"PMCDT";"PM.CHA.DIR.TILLER";"PC Factory D0021 - Recurso"
"PMCET";"PM.CHA.ESQ.TILLER";"PC Factory D0021 - Recurso"
"PMCFT";"PM.CAB.FRONTAL.TILLER";"PC Factory D0021 - Recurso"
"PMCHAC";"PRE.MON.CHASSI.CENTRAL.710";"PC Factory D0021 - Recurso"
"PMCINT";"PRE.MON.CHASSI.INTER.710";"PC Factory D0021 - Recurso"
"PMCLCG";"PM.CHAPAS LATERAIS";"PC Factory D0021 - Recurso"
"PMCLV";"PRE.SOL.Pre-Montagens.Vellox";"PC Factory D0021 - Recurso"
"PMCP";"PRE.MON.CHAS.PRODUTTIVA";"PC Factory D0021 - Recurso"
"PMCPRI";"PRE.MON.CHASSI.PRINC.710";"PC Factory D0021 - Recurso"
"PMCSAP";"PRE.MON. ACOPLA.PADRAO";"PC Factory D0021 - Recurso"
"PMCTT";"PM.CABECALHO TRASEIRA";"PC Factory D0021 - Recurso"
"PMCV";"PRE.MON.CHAPAS.LATERAIS.VELLOX";"PC Factory D0021 - Recurso"
"PMDSR";"PRE.MON.DSR";"PC Factory D0021 - Recurso"
"PMDUO";"PRE.MON.DUO";"PC Factory D0021 - Recurso"
